"A","ID_PERSONA","ID","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO","EDAT"
"280",1943983,1943983.2,2,1,0,0,1,0,2,60
"281",1943983,1943983.2,2,1,0,0,1,0,2,60
"282",1944489,1944489.2,2,1,0,0,1,1,2,37
"283",1944489,1944489.2,2,1,0,0,1,1,2,37
"284",1946972,1946972.3,3,1,0,0,1,0,3,42
"285",1946972,1946972.3,3,1,0,0,1,0,3,42
"286",1946972,1946972.3,3,1,0,0,1,0,3,42
"287",1946972,1946972.3,3,1,0,0,1,0,3,42
"288",1951103,1951103.1,3,1,0,0,1,0,1,43
"289",1952734,1952734.2,3,1,0,0,1,0,2,31
"290",1952734,1952734.2,3,1,0,0,1,0,2,31
"291",1955874,1955874.1,3,0,0,1,1,0,1,50
"292",1957266,1957266.1,2,0,0,1,1,0,1,44
"293",1957460,1957460.2,3,1,0,0,1,0,2,38
"294",1957460,1957460.2,3,1,0,0,1,0,2,38
"295",1962133,1962133.2,3,1,0,0,1,0,2,57
"296",1962133,1962133.2,3,1,0,0,1,0,2,57
"297",1963332,1963332.1,2,1,0,0,1,0,1,53
"298",1975727,1975727.1,2,0,1,0,1,1,1,35
"299",1977563,1977563.1,3,1,0,1,1,1,1,32
"300",1979384,1979384.2,3,0,0,2,1,0,2,38
"301",1979384,1979384.2,3,0,0,2,1,0,2,38
"302",1981795,1981795.2,3,0,2,0,1,1,2,38
"303",1981795,1981795.2,3,0,2,0,1,1,2,38
"304",1996159,1996159.1,2,1,0,1,1,0,1,44
"305",1996194,1996194.2,3,1,0,0,1,0,2,32
"306",1996194,1996194.2,3,1,0,0,1,0,2,32
"307",1996194,1996194.2,3,1,0,0,1,0,2,32
"308",1998290,1998290.1,3,0,0,1,1,0,1,62
"309",1999278,1999278.1,3,1,0,1,1,0,1,56
"310",2003532,2003532.1,3,1,0,0,0,0,1,43
"311",2005404,2005404.2,2,1,0,2,1,0,2,37
"312",2005404,2005404.2,2,1,0,2,1,0,2,37
"313",2005412,2005412.1,2,1,0,0,1,0,1,40
"314",2011693,2011693.2,2,1,0,0,1,0,2,63
"315",2011693,2011693.2,2,1,0,0,1,0,2,63
"316",2013450,2013450.1,2,1,0,0,1,1,1,36
"317",2014288,2014288.1,3,1,0,0,1,0,1,59
"318",2015477,2015477.2,3,1,0,0,5,0,2,45
"319",2015477,2015477.2,3,1,0,0,5,0,2,45
"320",2018067,2018067.2,2,1,0,2,1,0,2,55
"321",2018067,2018067.2,2,1,0,2,1,0,2,55
"322",2027084,2027084.1,3,0,0,1,1,0,1,46
"323",2027201,2027201.2,2,0,0,2,1,0,2,46
"324",2027201,2027201.2,2,0,0,2,1,0,2,46
"325",2031135,2031135.1,3,0,0,1,5,0,1,30
"326",2033951,2033951.1,3,0,0,0,1,0,1,34
"327",2041562,2041562.1,2,1,0,0,1,0,1,39
"328",2068000,2068000.1,2,0,0,0,1,0,1,31
"329",2098332,2098332.1,2,1,0,0,1,0,1,47
"330",2102688,2102688.1,2,1,0,0,1,1,1,48
"331",2184433,2184433.2,3,1,0,0,1,1,2,36
"332",2184433,2184433.2,3,1,0,0,1,1,2,36
"333",2249203,2249203.1,2,0,0,1,1,1,1,59
"334",2299824,2299824.1,2,0,0,1,2,0,1,59
"335",2338555,2338555.1,3,1,0,0,1,0,1,29
"336",2348698,2348698.2,3,1,0,0,1,0,2,25
"337",2348698,2348698.2,3,1,0,0,1,0,2,25
"338",2360739,2360739.1,2,1,0,1,1,1,1,34
"339",2378648,2378648.2,3,0,0,2,1,0,2,49
"340",2378648,2378648.2,3,0,0,2,1,0,2,49
"341",2384641,2384641.1,3,0,0,1,2,0,1,58
"342",2385658,2385658.2,3,1,0,0,0,0,2,60
"343",2385658,2385658.2,3,1,0,0,0,0,2,60
"344",2385850,2385850.1,2,0,0,1,1,0,1,33
"345",2407591,2407591.2,3,0,0,2,5,1,2,49
"346",2407591,2407591.2,3,0,0,2,5,1,2,49
"347",2430809,2430809.1,3,1,0,1,1,1,1,35
"348",2498741,2498741.2,2,1,0,0,1,0,2,31
"349",2498741,2498741.2,2,1,0,0,1,0,2,31
"350",2503012,2503012.2,3,1,0,0,2,0,2,35
"351",2503012,2503012.2,3,1,0,0,2,0,2,35
"352",2509840,2509840.2,2,0,0,2,1,1,2,39
"353",2509840,2509840.2,2,0,0,2,1,1,2,39
"354",2510605,2510605.2,3,1,0,0,3,0,2,30
"355",2510605,2510605.2,3,1,0,0,3,0,2,30
"356",2558966,2558966.1,3,1,0,0,1,0,1,31
"357",2570618,2570618.1,3,1,0,1,1,1,1,43
"358",2582239,2582239.2,2,1,0,0,1,0,2,44
"359",2582239,2582239.2,2,1,0,0,1,0,2,44
"360",2590995,2590995.1,2,1,0,1,1,0,1,44
"361",2601298,2601298.2,3,1,2,0,1,0,2,27
