"A","ID","ID_PERSONA","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO"
"90",1392729.2,1392729,2,1,0,0,1,0,2
"91",1392729.2,1392729,2,1,0,0,1,0,2
"92",1409342.2,1409342,3,1,0,0,5,0,2
"93",1409342.2,1409342,3,1,0,0,5,0,2
"94",1409949.1,1409949,2,0,0,1,6,1,1
"95",1421413.1,1421413,3,1,0,1,1,0,1
"96",1422842.1,1422842,2,1,0,0,1,0,1
"97",1424888.1,1424888,2,1,0,1,1,0,1
"98",1430706.1,1430706,3,1,0,1,1,0,1
"99",1443227.1,1443227,3,1,0,1,1,0,1
"100",1458840.1,1458840,3,1,0,1,1,0,1
"101",1462374.1,1462374,3,0,0,2,1,0,1
"102",1462374.1,1462374,3,0,0,2,1,0,1
"103",1466568.2,1466568,2,1,0,0,1,1,2
"104",1466568.2,1466568,2,1,0,0,1,1,2
"105",1474346.1,1474346,2,0,0,1,5,0,1
"106",1482025.1,1482025,2,0,0,1,5,0,1
"107",1482999.2,1482999,3,1,0,0,1,0,2
"108",1482999.2,1482999,3,1,0,0,1,0,2
"109",1484063.1,1484063,3,1,0,0,1,0,1
"110",1500275.2,1500275,3,1,0,0,3,0,2
"111",1500275.2,1500275,3,1,0,0,3,0,2
"112",1501866.2,1501866,3,0,0,2,1,0,2
"113",1501866.2,1501866,3,0,0,2,1,0,2
"114",1507409.2,1507409,2,0,0,3,1,0,2
"115",1507409.2,1507409,2,0,0,3,1,0,2
"116",1507409.2,1507409,2,0,0,3,1,0,2
"117",1509261.2,1509261,2,1,0,0,1,0,2
"118",1509261.2,1509261,2,1,0,0,1,0,2
"119",1520327.2,1520327,2,1,0,0,1,0,2
"120",1520327.2,1520327,2,1,0,0,1,0,2
"121",1522526.2,1522526,2,1,0,2,2,0,2
"122",1522526.2,1522526,2,1,0,2,2,0,2
"123",1531887.2,1531887,2,0,2,2,1,0,2
"124",1531887.2,1531887,2,0,2,2,1,0,2
"125",1533478.2,1533478,2,1,0,0,4,0,2
"126",1533478.2,1533478,2,1,0,0,4,0,2
"127",1537654.1,1537654,3,1,0,0,1,0,1
"128",1540273.1,1540273,3,1,0,1,1,0,1
"129",1548865.2,1548865,3,1,0,0,1,0,2
"130",1548865.2,1548865,3,1,0,0,1,0,2
"131",1550702.1,1550702,2,1,0,0,1,1,1
"132",1558745.3,1558745,2,0,0,3,1,0,3
"133",1558745.3,1558745,2,0,0,3,1,0,3
"134",1558745.3,1558745,2,0,0,3,1,0,3
"135",1560608.1,1560608,3,1,0,0,1,1,1
"136",1560608.1,1560608,3,1,0,0,1,1,1
"137",1562537.1,1562537,3,0,0,0,2,0,1
"138",1565450.1,1565450,3,1,0,1,0,0,1
"139",1567006.2,1567006,3,1,0,2,1,0,2
"140",1567006.2,1567006,3,1,0,2,1,0,2
"141",1576193.1,1576193,3,0,0,1,5,0,1
"142",1578557.1,1578557,2,1,0,0,1,1,1
"143",1582183.2,1582183,3,1,0,2,1,1,2
"144",1582183.2,1582183,3,1,0,2,1,1,2
"145",1595385.2,1595385,3,1,2,0,1,0,2
"146",1595385.2,1595385,3,1,2,0,1,0,2
"147",1605187.1,1605187,2,0,0,1,5,1,1
"148",1608144.1,1608144,3,1,0,1,3,1,1
"149",1608320.1,1608320,2,1,0,0,1,0,1
"150",1614586.4,1614586,2,0,0,0,5,0,4
"151",1614586.4,1614586,2,0,0,0,5,0,4
"152",1614586.4,1614586,2,0,0,0,5,0,4
"153",1614586.4,1614586,2,0,0,0,5,0,4
"154",1614586.4,1614586,2,0,0,0,5,0,4
"155",1641450.2,1641450,3,1,0,2,1,0,2
"156",1641450.2,1641450,3,1,0,2,1,0,2
"157",1650130.1,1650130,2,1,1,0,1,0,1
"158",1652420.1,1652420,3,1,0,1,1,0,1
"159",1656415.1,1656415,2,1,0,0,1,0,1
"160",1657015.1,1657015,2,0,0,1,1,0,1
"161",1662327.1,1662327,3,0,0,1,1,0,1
"162",1670310.1,1670310,3,0,0,1,5,0,1
"163",1673136.2,1673136,3,1,0,2,1,1,2
"164",1673136.2,1673136,3,1,0,2,1,1,2
"165",1681140.1,1681140,3,0,0,0,3,1,1
"166",1682085.1,1682085,2,0,0,1,1,1,1
"167",1682928.1,1682928,3,0,0,0,3,1,1
"168",1695366.1,1695366,2,1,0,0,1,0,1
"169",1703242.2,1703242,2,1,0,0,1,0,2
"170",1703242.2,1703242,2,1,0,0,1,0,2
"171",1704627.2,1704627,3,1,0,2,1,0,2
"172",1704627.2,1704627,3,1,0,2,1,0,2
"173",1708122.1,1708122,3,1,0,1,1,0,1
"174",1712722.1,1712722,3,0,0,0,1,0,1
"175",1721550.2,1721550,3,1,0,0,2,1,2
"176",1721550.2,1721550,3,1,0,0,2,1,2
"177",1723622.1,1723622,2,0,1,0,1,0,1
"178",1723664.3,1723664,2,1,0,0,1,1,3
"179",1723664.3,1723664,2,1,0,0,1,1,3
"180",1723664.3,1723664,2,1,0,0,1,1,3
"181",1724985.1,1724985,2,1,0,0,1,0,1
"182",1726291.2,1726291,2,1,0,0,1,0,2
"183",1726291.2,1726291,2,1,0,0,1,0,2
"184",1729667.2,1729667,3,1,0,2,6,1,2
"185",1729667.2,1729667,3,1,0,2,6,1,2
"186",1730461.1,1730461,3,0,0,1,1,0,1
"187",1732942.1,1732942,3,0,0,1,1,0,1
"188",1736384.2,1736384,3,0,0,0,1,1,2
"189",1736384.2,1736384,3,0,0,0,1,1,2
"190",1736384.2,1736384,3,0,0,0,1,1,2
"191",1738839.2,1738839,3,0,0,0,0,0,2
"192",1738839.2,1738839,3,0,0,0,0,0,2
"193",1740657.2,1740657,2,1,0,0,1,0,2
"194",1740657.2,1740657,2,1,0,0,1,0,2
